customer_id,gender,age,payment_method
C100004,Male,61,Credit Card
C100005,Male,34,Cash
C100006,Male,44,Credit Card
C100012,Male,25,Cash
C100019,Female,21,Credit Card
C100025,Male,55,Debit Card
C100028,Female,21,Cash
C100030,Male,46,Cash
C100034,Male,60,Cash
C100041,Female,50,Cash
C100042,Female,28,Cash
C100045,Male,48,Cash
C100066,Female,46,Cash
C100067,Female,62,Cash
C100078,Male,64,Debit Card
C100088,Female,30,Debit Card
C100090,Female,62,Cash
C100095,Female,31,Cash
C100096,Male,40,Cash
C100099,Male,64,Credit Card
C100102,Male,18,Credit Card
C100105,Male,49,Cash
C100106,Male,54,Cash
C100110,Female,28,Credit Card
C100112,Female,68,Debit Card
C100113,Female,48,Debit Card
C100115,Male,62,Cash
C100121,Male,64,Cash
C100123,Female,40,Cash
C100124,Female,45,Cash
C100130,Female,42,Cash
C100132,Female,53,Cash
C100138,Male,58,Cash
C100139,Male,35,Cash
C100141,Female,33,Cash
C100148,Female,63,Credit Card
C100152,Female,45,Cash
C100154,Female,54,Debit Card
C100155,Female,61,Debit Card
C100156,Male,62,Debit Card
C100157,Female,42,Credit Card
C100159,Female,32,Debit Card
C100168,Male,48,Credit Card
C100172,Male,41,Cash
C100175,Male,22,Credit Card
C100176,Male,54,Credit Card
C100181,Female,33,Credit Card
C100182,Male,37,Credit Card
C100184,Female,29,Debit Card
C100188,Male,42,Cash
C100189,Female,33,Cash
C100190,Female,37,Cash
C100198,Male,63,Cash
C100199,Male,35,Debit Card
C100201,Female,64,Credit Card
C100204,Female,59,Cash
C100211,Female,62,Credit Card
C100218,Male,26,Cash
C100221,Female,30,Cash
C100225,Female,26,Debit Card
C100232,Female,24,Debit Card
C100235,Female,66,Credit Card
C100236,Female,59,Debit Card
C100241,Male,28,Cash
C100242,Male,25,Debit Card
C100246,Male,25,Cash
C100247,Female,21,Cash
C100253,Female,62,Credit Card
C100254,Male,52,Credit Card
C100256,Female,38,Debit Card
C100259,Female,22,Credit Card
C100261,Male,63,Credit Card
C100272,Male,23,Cash
C100273,Male,40,Cash
C100281,Female,38,Debit Card
C100282,Female,31,Cash
C100283,Female,42,Debit Card
C100284,Male,52,Credit Card
C100285,Female,45,Credit Card
C100286,Male,58,Credit Card
C100291,Male,39,Cash
C100297,Male,39,Debit Card
C100298,Female,31,Credit Card
C100299,Female,22,Credit Card
C100301,Female,19,Credit Card
C100305,Male,44,Cash
C100306,Female,35,Cash
C100307,Male,51,Credit Card
C100309,Male,53,Credit Card
C100311,Male,66,Debit Card
C100313,Female,52,Credit Card
C100314,Male,24,Debit Card
C100315,Female,60,Debit Card
C100322,Female,24,Cash
C100329,Female,36,Cash
C100330,Male,42,Credit Card
C100331,Female,23,Cash
C100333,Male,32,Credit Card
C100336,Male,55,Debit Card
C100346,Male,63,Debit Card
C100347,Female,58,Debit Card
C100349,Male,40,Cash
C100355,Female,23,Credit Card
C100361,Female,40,Cash
C100364,Female,57,Cash
C100367,Female,51,Cash
C100368,Female,50,Cash
C100369,Female,57,Cash
C100376,Female,38,Credit Card
C100379,Female,20,Cash
C100383,Female,27,Cash
C100384,Male,64,Credit Card
C100386,Female,66,Cash
C100398,Male,52,Debit Card
C100400,Female,60,Credit Card
C100401,Female,35,Credit Card
C100402,Female,30,Cash
C100403,Female,53,Credit Card
C100404,Female,36,Debit Card
C100406,Male,68,Debit Card
C100410,Male,58,Debit Card
C100415,Male,57,Cash
C100416,Female,64,Debit Card
C100420,Female,53,Cash
C100421,Male,22,Credit Card
C100427,Male,36,Cash
C100438,Female,34,Credit Card
C100439,Female,52,Cash
C100440,Female,32,Cash
C100441,Female,35,Credit Card
C100444,Male,66,Cash
C100446,Female,27,Cash
C100449,Female,42,Cash
C100451,Male,32,Cash
C100454,Female,51,Debit Card
C100455,Female,45,Credit Card
C100459,Female,26,Credit Card
C100462,Female,54,Credit Card
C100463,Male,48,Credit Card
C100467,Female,57,Cash
C100471,Male,40,Debit Card
C100472,Female,64,Cash
C100473,Male,66,Debit Card
C100474,Female,28,Credit Card
C100477,Female,45,Debit Card
C100478,Female,29,Cash
C100481,Female,49,Cash
C100484,Male,48,Cash
C100488,Female,57,Cash
C100490,Male,36,Debit Card
C100493,Female,53,Cash
C100494,Male,38,Credit Card
C100496,Male,53,Cash
C100507,Male,33,Cash
C100508,Female,22,Credit Card
C100515,Female,46,Cash
C100519,Male,55,Credit Card
C100521,Male,62,Credit Card
C100523,Male,31,Cash
C100525,Female,36,Cash
C100529,Female,19,Credit Card
C100535,Female,67,Cash
C100539,Female,28,Credit Card
C100540,Male,48,Debit Card
C100544,Female,40,Debit Card
C100545,Male,68,Credit Card
C100549,Male,48,Debit Card
C100551,Female,32,Debit Card
C100561,Male,66,Cash
C100563,Female,20,Cash
C100570,Female,62,Debit Card
C100572,Female,29,Cash
C100574,Female,27,Credit Card
C100576,Male,30,Cash
C100579,Female,28,Cash
C100587,Female,57,Debit Card
C100599,Female,28,Debit Card
C100605,Male,48,Credit Card
C100606,Female,25,Credit Card
C100607,Female,54,Cash
C100610,Female,37,Cash
C100622,Male,23,Cash
C100625,Male,27,Cash
C100629,Male,62,Debit Card
C100630,Male,69,Credit Card
C100636,Male,38,Credit Card
C100639,Female,44,Credit Card
C100640,Female,22,Cash
C100642,Female,63,Debit Card
C100648,Male,25,Cash
C100651,Female,58,Credit Card
C100654,Female,19,Debit Card
C100655,Female,22,Credit Card
C100656,Female,63,Cash
C100657,Female,69,Cash
C100661,Female,19,Cash
C100663,Male,52,Credit Card
C100666,Female,50,Cash
C100671,Male,44,Credit Card
C100672,Male,25,Cash
C100676,Female,26,Debit Card
C100677,Female,51,Cash
C100684,Female,38,Credit Card
C100687,Female,59,Debit Card
C100688,Female,39,Credit Card
C100690,Female,36,Credit Card
C100691,Female,51,Credit Card
C100694,Female,61,Cash
C100696,Female,39,Debit Card
C100697,Male,40,Credit Card
C100703,Male,47,Credit Card
C100705,Female,21,Cash
C100706,Female,43,Credit Card
C100709,Male,52,Cash
C100710,Female,36,Cash
C100713,Male,23,Cash
C100718,Female,39,Cash
C100720,Female,52,Credit Card
C100722,Female,41,Cash
C100725,Female,55,Cash
C100728,Female,50,Cash
C100735,Female,57,Credit Card
C100736,Male,35,Cash
C100743,Male,54,Debit Card
C100745,Male,46,Cash
C100746,Male,54,Debit Card
C100748,Female,,Debit Card
C100753,Male,44,Cash
C100754,Male,54,Credit Card
C100758,Male,56,Cash
C100760,Male,45,Cash
C100764,Female,54,Cash
C100765,Male,20,Cash
C100768,Male,65,Debit Card
C100772,Female,45,Debit Card
C100778,Female,69,Credit Card
C100782,Female,22,Debit Card
C100783,Male,58,Cash
C100786,Male,44,Cash
C100787,Female,35,Credit Card
C100794,Female,19,Cash
C100795,Female,44,Credit Card
C100797,Female,31,Cash
C100799,Male,30,Debit Card
C100801,Male,41,Credit Card
C100804,Male,29,Cash
C100812,Male,46,Cash
C100816,Female,20,Debit Card
C100822,Male,35,Cash
C100828,Male,63,Credit Card
C100833,Female,40,Debit Card
C100840,Female,40,Debit Card
C100841,Male,28,Credit Card
C100843,Female,61,Credit Card
C100844,Female,33,Credit Card
C100849,Male,27,Credit Card
C100851,Male,50,Credit Card
C100852,Male,31,Cash
C100854,Female,66,Cash
C100857,Male,67,Debit Card
C100867,Female,67,Credit Card
C100869,Male,65,Cash
C100879,Female,65,Credit Card
C100885,Female,40,Cash
C100894,Female,59,Credit Card
C100895,Male,55,Cash
C100899,Female,57,Credit Card
C100900,Female,30,Debit Card
C100901,Female,45,Debit Card
C100902,Male,23,Debit Card
C100910,Female,61,Cash
C100911,Female,47,Credit Card
C100919,Male,69,Credit Card
C100921,Female,18,Cash
C100926,Female,57,Debit Card
C100931,Male,27,Credit Card
C100935,Male,57,Credit Card
C100936,Male,32,Debit Card
C100940,Male,24,Debit Card
C100941,Female,26,Credit Card
C100944,Male,27,Credit Card
C100948,Female,33,Cash
C100952,Male,39,Cash
C100955,Male,48,Credit Card
C100960,Female,54,Debit Card
C100962,Male,44,Cash
C100966,Female,56,Debit Card
C100978,Female,23,Debit Card
C100979,Female,27,Cash
C100980,Female,40,Cash
C100986,Female,47,Cash
C100987,Female,62,Credit Card
C100994,Female,60,Credit Card
C101001,Male,29,Cash
C101002,Female,29,Cash
C101004,Male,18,Cash
C101010,Female,46,Credit Card
C101014,Male,49,Credit Card
C101018,Female,28,Credit Card
C101024,Male,28,Debit Card
C101027,Female,41,Credit Card
C101034,Female,41,Credit Card
C101035,Male,18,Cash
C101038,Female,45,Debit Card
C101041,Female,38,Cash
C101045,Male,33,Debit Card
C101052,Female,65,Debit Card
C101054,Male,24,Debit Card
C101055,Male,46,Cash
C101061,Male,57,Credit Card
C101064,Female,66,Cash
C101067,Male,30,Credit Card
C101068,Male,52,Cash
C101069,Female,18,Cash
C101071,Male,19,Cash
C101072,Female,65,Cash
C101074,Female,53,Cash
C101078,Female,57,Cash
C101079,Female,20,Cash
C101080,Male,34,Cash
C101082,Male,25,Cash
C101084,Male,60,Credit Card
C101089,Female,26,Credit Card
C101095,Female,45,Cash
C101097,Female,18,Credit Card
C101099,Female,23,Cash
C101100,Female,25,Cash
C101108,Female,66,Debit Card
C101115,Male,21,Cash
C101116,Male,47,Debit Card
C101117,Female,52,Debit Card
C101119,Male,43,Cash
C101120,Male,68,Credit Card
C101125,Male,38,Cash
C101131,Female,54,Cash
C101132,Male,36,Cash
C101133,Female,46,Cash
C101134,Male,51,Debit Card
C101135,Male,44,Debit Card
C101136,Male,30,Debit Card
C101137,Female,22,Cash
C101138,Female,24,Cash
C101143,Male,46,Cash
C101154,Female,39,Debit Card
C101173,Female,52,Credit Card
C101188,Female,20,Cash
C101196,Female,41,Debit Card
C101204,Female,47,Credit Card
C101205,Female,60,Cash
C101206,Male,47,Cash
C101208,Female,44,Credit Card
