invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
I178410,C100004,Clothing,5,1500.4,26-11-2021,Metrocity
I158163,C100005,Shoes,2,1200.34,03-03-2023,Kanyon
I262373,C100006,Toys,3,107.52,01-12-2022,Cevahir AVM
I334895,C100012,Food & Beverage,5,26.15,15-08-2021,Kanyon
I202043,C100019,Toys,1,35.84,25-07-2021,Metrocity
I303349,C100025,Toys,2,71.68,03-06-2021,Metrocity
I336350,C100028,Books,1,15.15,25-11-2021,Kanyon
I134255,C100030,Clothing,4,1200.32,13-10-2022,Mall of Istanbul
I306929,C100034,Clothing,2,600.16,06-08-2021,Kanyon
I280920,C100041,Clothing,3,900.24,23-04-2021,Kanyon
I235733,C100042,Cosmetics,4,162.64,04-01-2022,Metrocity
I272400,C100045,Food & Beverage,1,5.23,10-01-2022,Cevahir AVM
I223729,C100066,Toys,3,107.52,02-08-2022,Mall of Istanbul
I299506,C100067,Shoes,1,600.17,06-01-2021,Cevahir AVM
I106485,C100078,Books,2,30.3,01-12-2022,Metropol AVM
I228645,C100088,Food & Beverage,1,5.23,05-03-2021,Zorlu Center
I106400,C100090,Cosmetics,2,81.32,07-03-2022,Mall of Istanbul
I319843,C100095,Food & Beverage,5,26.15,09-10-2022,Metrocity
I139006,C100096,Clothing,3,900.24,03-10-2021,Mall of Istanbul
I130053,C100099,Books,3,45.45,23-03-2022,Kanyon
I461397,C100102,Clothing,3,900.24,31-08-2022,Mall of Istanbul
I733785,C100105,Food & Beverage,1,5.23,16-07-2022,Forum Istanbul
I769227,C100106,Clothing,4,1200.32,24-06-2022,Zorlu Center
I102939,C100110,Clothing,5,1500.4,01-05-2022,Metrocity
I133050,C100112,Clothing,1,300.08,25-05-2022,Kanyon
I127763,C100113,Clothing,4,1200.32,15-06-2022,Istinye Park
I253471,C100115,Cosmetics,1,40.66,08-06-2022,Metrocity
I323307,C100121,Souvenir,1,11.73,03-04-2022,Mall of Istanbul
I151341,C100123,Cosmetics,3,121.98,25-01-2022,Zorlu Center
I188439,C100124,Food & Beverage,3,15.69,15-06-2021,Emaar Square Mall
I217116,C100130,Shoes,3,1800.51,08-02-2023,Zorlu Center
I152377,C100132,Food & Beverage,3,15.69,08-10-2022,Metrocity
I210769,C100138,Shoes,2,1200.34,28-03-2022,Metrocity
I371939,C100139,Technology,1,1050,16-03-2021,Zorlu Center
I261321,C100141,Books,2,30.3,09-03-2022,Mall of Istanbul
I319401,C100148,Clothing,3,900.24,03-09-2021,Metrocity
I964844,C100152,Clothing,2,600.16,06-02-2022,Mall of Istanbul
I293352,C100154,Books,1,15.15,19-10-2022,Viaport Outlet
I901487,C100155,Clothing,1,300.08,03-03-2023,Zorlu Center
I325613,C100156,Food & Beverage,4,20.92,05-04-2021,Metropol AVM
I477125,C100157,Cosmetics,5,203.3,25-04-2022,Mall of Istanbul
I260973,C100159,Toys,5,179.2,24-02-2022,Mall of Istanbul
I216112,C100168,Technology,5,5250,19-10-2022,Istinye Park
I242541,C100172,Toys,4,143.36,09-03-2022,Viaport Outlet
I231011,C100175,Shoes,4,2400.68,10-10-2021,Cevahir AVM
I324356,C100176,Clothing,3,900.24,12-07-2021,Kanyon
I332719,C100181,Toys,5,179.2,16-02-2022,Metrocity
I189529,C100182,Souvenir,5,58.65,16-10-2021,Istinye Park
I155873,C100184,Technology,2,2100,24-04-2022,Emaar Square Mall
I349253,C100188,Toys,4,143.36,02-10-2022,Istinye Park
I192284,C100189,Toys,3,107.52,05-01-2023,Metrocity
I766439,C100190,Toys,1,35.84,26-01-2023,Kanyon
I142150,C100198,Cosmetics,2,81.32,31-01-2021,Kanyon
I383710,C100199,Technology,4,4200,12-12-2021,Istinye Park
I279206,C100201,Clothing,1,300.08,02-11-2021,Metrocity
I260809,C100204,Cosmetics,5,203.3,30-07-2022,Metrocity
I306026,C100211,Shoes,4,2400.68,24-11-2022,Metrocity
I100522,C100218,Clothing,5,1500.4,06-11-2021,Kanyon
I284099,C100221,Shoes,4,2400.68,24-01-2021,Metrocity
I290521,C100225,Toys,2,71.68,22-03-2022,Istinye Park
I250864,C100232,Shoes,1,600.17,11-01-2023,Metropol AVM
I142167,C100235,Clothing,3,900.24,13-12-2022,Viaport Outlet
I130993,C100236,Clothing,2,600.16,24-02-2023,Metropol AVM
I320921,C100241,Cosmetics,4,162.64,01-11-2021,Istinye Park
I291292,C100242,Food & Beverage,1,5.23,09-02-2021,Metrocity
I329578,C100246,Clothing,2,600.16,10-12-2021,Metrocity
I308726,C100247,Shoes,2,1200.34,05-06-2022,Forum Istanbul
I956668,C100253,Shoes,1,600.17,07-11-2021,Mall of Istanbul
I743056,C100254,Technology,4,4200,17-02-2021,Mall of Istanbul
I666086,C100256,Food & Beverage,3,15.69,08-09-2022,Mall of Istanbul
I256811,C100259,Toys,2,71.68,08-01-2021,Metropol AVM
I726093,C100261,Clothing,4,1200.32,12-11-2022,Emaar Square Mall
I140204,C100272,Food & Beverage,4,20.92,03-03-2022,Metrocity
I135049,C100273,Clothing,1,300.08,02-03-2022,Mall of Istanbul
I455470,C100281,Clothing,2,600.16,26-02-2023,Kanyon
I288355,C100282,Clothing,2,600.16,02-10-2021,Metrocity
I148625,C100283,Clothing,2,600.16,30-10-2021,Kanyon
I922387,C100284,Technology,3,3150,29-06-2022,Mall of Istanbul
I461978,C100285,Clothing,1,300.08,25-03-2022,Metropol AVM
I184730,C100286,Clothing,4,1200.32,05-06-2021,Metropol AVM
I326981,C100291,Souvenir,3,35.19,03-06-2021,Emaar Square Mall
I326699,C100297,Cosmetics,3,121.98,12-09-2022,Metrocity
I311868,C100298,Clothing,3,900.24,12-08-2021,Mall of Istanbul
I280459,C100299,Books,1,15.15,23-09-2022,Metrocity
I292270,C100301,Books,1,15.15,27-08-2021,Mall of Istanbul
I135104,C100305,Clothing,1,300.08,22-11-2021,Mall of Istanbul
I217940,C100306,Technology,5,5250,18-06-2021,Metropol AVM
I281026,C100307,Clothing,1,300.08,06-01-2021,Emaar Square Mall
I144122,C100309,Clothing,2,600.16,01-06-2021,Kanyon
I314581,C100311,Cosmetics,4,162.64,01-09-2022,Kanyon
I576621,C100313,Clothing,5,1500.4,22-11-2021,Metropol AVM
I303099,C100314,Cosmetics,2,81.32,18-04-2021,Mall of Istanbul
I140026,C100315,Clothing,5,1500.4,03-05-2022,Metropol AVM
I281381,C100322,Technology,5,5250,03-07-2022,Viaport Outlet
I843442,C100329,Food & Beverage,2,10.46,22-09-2022,Cevahir AVM
I119978,C100330,Toys,3,107.52,18-07-2022,Metrocity
I117980,C100331,Shoes,4,2400.68,05-04-2022,Mall of Istanbul
I320344,C100333,Clothing,5,1500.4,25-02-2021,Kanyon
I378028,C100336,Clothing,3,900.24,01-08-2021,Zorlu Center
I152329,C100346,Clothing,5,1500.4,16-02-2021,Mall of Istanbul
I302068,C100347,Shoes,2,1200.34,15-07-2022,Metropol AVM
I193229,C100349,Clothing,5,1500.4,05-03-2021,Cevahir AVM
I313092,C100355,Cosmetics,2,81.32,23-04-2022,Zorlu Center
I258750,C100361,Food & Beverage,3,15.69,04-04-2022,Istinye Park
I126182,C100364,Clothing,5,1500.4,06-02-2022,Istinye Park
I155060,C100367,Souvenir,1,11.73,28-02-2023,Forum Istanbul
I296886,C100368,Cosmetics,4,162.64,30-12-2022,Kanyon
I997903,C100369,Clothing,5,1500.4,19-08-2021,Istinye Park
I962731,C100376,Books,3,45.45,07-01-2021,Metrocity
I157442,C100379,Shoes,2,1200.34,05-12-2021,Metrocity
I937013,C100383,Food & Beverage,1,5.23,16-02-2022,Viaport Outlet
I264100,C100384,Books,4,60.6,09-10-2021,Mall of Istanbul
I593706,C100386,Clothing,3,900.24,05-10-2021,Emaar Square Mall
I319086,C100398,Clothing,1,300.08,22-08-2022,Mall of Istanbul
I754473,C100400,Clothing,1,300.08,23-12-2021,Mall of Istanbul
I273979,C100401,Clothing,5,1500.4,22-09-2022,Zorlu Center
I219403,C100402,Clothing,1,300.08,15-02-2022,Istinye Park
I738389,C100403,Clothing,5,1500.4,09-10-2022,Forum Istanbul
I152488,C100404,Food & Beverage,3,15.69,28-04-2022,Viaport Outlet
I205644,C100406,Clothing,5,1500.4,24-06-2021,Forum Istanbul
I150428,C100410,Clothing,3,900.24,09-07-2021,Kanyon
I510860,C100415,Souvenir,1,11.73,19-09-2021,Istinye Park
I149728,C100416,Food & Beverage,1,5.23,26-07-2022,Istinye Park
I125980,C100420,Clothing,4,1200.32,28-02-2022,Mall of Istanbul
I218743,C100421,Shoes,1,600.17,23-08-2021,Metropol AVM
I235304,C100427,Cosmetics,3,121.98,25-11-2022,Istinye Park
I216525,C100438,Clothing,4,1200.32,02-10-2021,Mall of Istanbul
I265317,C100439,Toys,2,71.68,15-11-2021,Emaar Square Mall
I153868,C100440,Food & Beverage,1,5.23,23-08-2022,Kanyon
I261512,C100441,Clothing,3,900.24,19-08-2022,Metropol AVM
I225666,C100444,Cosmetics,4,162.64,22-11-2022,Mall of Istanbul
I305696,C100446,Toys,4,143.36,13-02-2021,Metrocity
I142638,C100449,Food & Beverage,2,10.46,15-08-2022,Istinye Park
I164646,C100451,Shoes,4,2400.68,30-07-2021,Mall of Istanbul
I153682,C100454,Clothing,4,1200.32,06-03-2022,Metrocity
I117657,C100455,Clothing,3,900.24,01-10-2022,Mall of Istanbul
I209548,C100459,Food & Beverage,3,15.69,21-02-2023,Metrocity
I238721,C100462,Shoes,3,1800.51,24-10-2021,Mall of Istanbul
I515200,C100463,Food & Beverage,2,10.46,20-07-2021,Metropol AVM
I111282,C100467,Food & Beverage,5,26.15,13-02-2022,Kanyon
I313261,C100471,Cosmetics,3,121.98,06-10-2022,Istinye Park
I174531,C100472,Food & Beverage,1,5.23,15-04-2021,Metrocity
I231186,C100473,Food & Beverage,2,10.46,13-12-2022,Metrocity
I279989,C100474,Clothing,5,1500.4,15-08-2021,Zorlu Center
I204945,C100477,Food & Beverage,4,20.92,16-09-2022,Mall of Istanbul
I225692,C100478,Toys,5,179.2,27-12-2021,Mall of Istanbul
I241735,C100481,Books,4,60.6,12-08-2022,Metropol AVM
I155404,C100484,Toys,4,143.36,19-09-2022,Metrocity
I258949,C100488,Food & Beverage,3,15.69,19-02-2022,Kanyon
I500960,C100490,Clothing,4,1200.32,31-12-2022,Viaport Outlet
I125404,C100493,Toys,2,71.68,27-05-2021,Istinye Park
I182701,C100494,Technology,3,3150,05-02-2021,Mall of Istanbul
